Unnamed: 0,State,District,Reg_id,date,mean,max,min
62,Madhya Pradesh,KHANDWA,8004,2024-01-21,17.376337,24.478205,11.78927
63,Madhya Pradesh,KHANDWA,8003,2024-01-21,17.262354,24.26098,11.904718
64,Madhya Pradesh,KHANDWA,8002,2024-01-21,16.920862,23.651758,11.908197
65,Madhya Pradesh,KHANDWA,8001,2024-01-21,16.621607,23.254328,11.771845
66,Madhya Pradesh,DINDORI,7003,2024-01-21,14.842829,22.362787,8.640863
67,Madhya Pradesh,DINDORI,7002,2024-01-21,14.820978,22.428156,8.412836
68,Madhya Pradesh,DINDORI,7001,2024-01-21,15.749903,22.98672,9.488611
69,Madhya Pradesh,DHAR,6009,2024-01-21,16.940882,23.573908,11.390619
70,Madhya Pradesh,DHAR,6008,2024-01-21,16.736597,23.6524,11.141382
71,Madhya Pradesh,DHAR,6007,2024-01-21,18.2268,25.214869,12.114252
72,Madhya Pradesh,DHAR,6006,2024-01-21,18.383112,25.020655,12.184198
73,Madhya Pradesh,DHAR,6005,2024-01-21,17.892328,24.596216,12.155085
74,Madhya Pradesh,DHAR,6004,2024-01-21,17.43374,24.634943,11.574152
75,Madhya Pradesh,DHAR,6003,2024-01-21,16.643549,23.39071,11.069849
76,Madhya Pradesh,DHAR,6002,2024-01-21,18.489557,24.975733,11.9873905
77,Madhya Pradesh,DHAR,6001,2024-01-21,15.850641,22.659204,10.178186
78,Madhya Pradesh,DEWAS,5010,2024-01-21,16.45257,23.486536,10.979029
79,Madhya Pradesh,DEWAS,5009,2024-01-21,14.309504,21.531672,8.1366825
80,Madhya Pradesh,DEWAS,5008,2024-01-21,14.65481,21.702326,8.515223
81,Madhya Pradesh,DEWAS,5007,2024-01-21,16.28393,23.082209,11.097925
82,Madhya Pradesh,DEWAS,5006,2024-01-21,16.164942,22.878626,11.12591
83,Madhya Pradesh,DEWAS,5005,2024-01-21,16.045862,22.722223,10.656977
84,Madhya Pradesh,DEWAS,5004,2024-01-21,15.502161,22.479303,9.699396
85,Madhya Pradesh,DEWAS,5003,2024-01-21,14.702539,21.800348,8.794458
86,Madhya Pradesh,DEWAS,5002,2024-01-21,14.920221,22.02093,8.998835
87,Madhya Pradesh,DEWAS,5001,2024-01-21,15.848627,22.85351,10.155176
88,Madhya Pradesh,DATIA,4006,2024-01-21,10.169519,17.851496,5.6358886
89,Madhya Pradesh,DATIA,4005,2024-01-21,10.730768,18.37655,5.8461547
90,Madhya Pradesh,DATIA,4004,2024-01-21,11.104181,18.694147,5.866632
91,Madhya Pradesh,DATIA,4003,2024-01-21,11.479151,18.735071,6.207422
92,Madhya Pradesh,DATIA,4002,2024-01-21,10.740442,18.25448,5.8261046
93,Madhya Pradesh,DATIA,4001,2024-01-21,11.322016,18.939508,6.0043273
94,Madhya Pradesh,DAMOH,3008,2024-01-21,13.400019,20.603693,7.528589
95,Madhya Pradesh,DAMOH,3007,2024-01-21,12.801783,20.322565,7.2120605
96,Madhya Pradesh,DAMOH,3006,2024-01-21,12.636896,20.26449,6.4444213
97,Madhya Pradesh,DAMOH,3005,2024-01-21,13.23501,20.435022,7.409723
98,Madhya Pradesh,DAMOH,3004,2024-01-21,12.60351,19.866877,7.0289855
99,Madhya Pradesh,DAMOH,3003,2024-01-21,13.005701,20.433802,7.667169
100,Madhya Pradesh,DAMOH,3002,2024-01-21,12.915796,20.367548,7.2895446
101,Madhya Pradesh,DAMOH,3001,2024-01-21,12.606287,19.98324,7.1943603
102,Madhya Pradesh,CHHINDWARA,2014,2024-01-21,16.419886,23.59408,10.665796
103,Madhya Pradesh,CHHINDWARA,2013,2024-01-21,15.044764,21.448206,9.212549
104,Madhya Pradesh,CHHINDWARA,2012,2024-01-21,18.96029,25.972712,12.473963
105,Madhya Pradesh,CHHINDWARA,2011,2024-01-21,15.261438,22.36352,9.512232
106,Madhya Pradesh,CHHINDWARA,2010,2024-01-21,18.251886,25.524103,11.907709
107,Madhya Pradesh,CHHINDWARA,2009,2024-01-21,17.1896,24.385065,11.262293
108,Madhya Pradesh,CHHINDWARA,2008,2024-01-21,15.09997,22.241724,9.195765
109,Madhya Pradesh,CHHINDWARA,2007,2024-01-21,14.945307,21.231897,9.148798
110,Madhya Pradesh,CHHINDWARA,2006,2024-01-21,17.471613,24.467829,11.842096
111,Madhya Pradesh,CHHINDWARA,2005,2024-01-21,16.952478,23.994165,11.174463
112,Madhya Pradesh,CHHINDWARA,2004,2024-01-21,17.327387,24.275537,11.503168
113,Madhya Pradesh,CHHINDWARA,2003,2024-01-21,18.004786,24.845118,12.343256
114,Madhya Pradesh,CHHINDWARA,2002,2024-01-21,18.868982,25.558313,13.063166
115,Madhya Pradesh,CHHINDWARA,2001,2024-01-21,15.637323,22.65957,9.60882
116,Madhya Pradesh,CHHATARPUR,1012,2024-01-21,12.284479,19.057917,7.127252
