Unnamed: 0,State,District,Reg_id,date,mean,max,min
66,Maharashtra,SANGLI,7001,21-01-2024,24.541468,29.804712,18.35592
67,Maharashtra,SANGLI,7002,21-01-2024,25.570856,30.450342,19.47439
68,Maharashtra,SANGLI,7003,21-01-2024,22.111322,28.971704,15.508234
69,Maharashtra,SANGLI,7004,21-01-2024,24.20022,29.808558,17.7203
70,Maharashtra,SANGLI,7005,21-01-2024,23.111872,29.245386,16.608576
71,Maharashtra,SANGLI,7006,21-01-2024,23.587519,29.674768,17.23437
72,Maharashtra,SANGLI,7007,21-01-2024,22.775415,29.083094,16.006647
73,Maharashtra,SANGLI,7008,21-01-2024,22.603266,29.806665,15.486933
74,Maharashtra,SANGLI,7009,21-01-2024,23.255762,29.363764,16.56756
75,Maharashtra,SANGLI,7010,21-01-2024,22.427881,29.369379,16.249475
76,Maharashtra,SATARA,8001,21-01-2024,21.681452,28.790094,15.614618
77,Maharashtra,SATARA,8002,21-01-2024,21.737299,28.837763,15.021387
78,Maharashtra,SATARA,8003,21-01-2024,21.697565,28.46786,17.20141
79,Maharashtra,SATARA,8004,21-01-2024,22.515772,28.797876,16.149958
80,Maharashtra,SATARA,8005,21-01-2024,21.60885,28.50857,15.804529
81,Maharashtra,SATARA,8006,21-01-2024,21.773035,29.046503,15.419886
82,Maharashtra,SATARA,8007,21-01-2024,23.90835,29.332483,17.629328
83,Maharashtra,SATARA,8008,21-01-2024,22.280878,29.322962,15.36532
84,Maharashtra,SATARA,8009,21-01-2024,23.22317,29.192255,17.04516
85,Maharashtra,SATARA,8010,21-01-2024,21.26452,28.226831,15.410852
86,Maharashtra,SATARA,8011,21-01-2024,21.179285,28.258936,16.273829
87,Maharashtra,SINDHUDURG,9001,21-01-2024,25.72497,29.610346,21.944971
88,Maharashtra,SINDHUDURG,9002,21-01-2024,24.1813,31.087336,17.948694
89,Maharashtra,SINDHUDURG,9003,21-01-2024,24.6643,31.535028,18.33401
90,Maharashtra,SINDHUDURG,9004,21-01-2024,24.823542,30.897242,19.22964
91,Maharashtra,SINDHUDURG,9005,21-01-2024,25.75796,29.35412,22.259089
92,Maharashtra,SINDHUDURG,9006,21-01-2024,24.55401,30.7268,18.943872
93,Maharashtra,SINDHUDURG,9007,21-01-2024,24.596857,31.60293,17.79696
94,Maharashtra,SINDHUDURG,9008,21-01-2024,25.51153,29.862574,21.32113
95,Maharashtra,SOLAPUR,1,21-01-2024,25.543451,30.87115,20.474451
96,Maharashtra,SOLAPUR,2,21-01-2024,24.869135,30.002863,19.573298
97,Maharashtra,SOLAPUR,3,21-01-2024,24.639582,29.684015,18.837427
98,Maharashtra,SOLAPUR,4,21-01-2024,25.305506,30.245142,19.58053
99,Maharashtra,SOLAPUR,5,21-01-2024,24.453821,29.702967,18.402246
100,Maharashtra,SOLAPUR,6,21-01-2024,26.254389,30.936365,20.152735
101,Maharashtra,SOLAPUR,7,21-01-2024,26.270807,30.943964,20.48028
102,Maharashtra,SOLAPUR,8,21-01-2024,25.656641,30.592035,19.692865
103,Maharashtra,SOLAPUR,9,21-01-2024,25.384455,30.28982,19.280695
104,Maharashtra,SOLAPUR,10,21-01-2024,26.173914,30.96496,20.598505
105,Maharashtra,SOLAPUR,11,21-01-2024,26.25799,31.1625,20.656183
106,Maharashtra,THANE,1001,21-01-2024,24.229334,31.39535,17.870508
107,Maharashtra,THANE,1002,21-01-2024,24.04275,30.596521,18.375055
108,Maharashtra,THANE,1003,21-01-2024,24.362665,31.271357,18.357721
109,Maharashtra,THANE,1004,21-01-2024,22.752222,29.661982,16.670038
110,Maharashtra,THANE,1005,21-01-2024,22.88125,29.645441,17.432123
111,Maharashtra,THANE,1006,21-01-2024,24.448786,29.478174,20.090357
112,Maharashtra,THANE,1007,21-01-2024,24.373133,31.581446,18.033472
113,Maharashtra,WARDHA,2001,21-01-2024,21.027124,27.169764,15.366846
114,Maharashtra,WARDHA,2002,21-01-2024,19.886805,26.736628,14.069941
115,Maharashtra,WARDHA,2003,21-01-2024,22.08587,27.813623,16.480555
116,Maharashtra,WARDHA,2004,21-01-2024,22.659693,27.820154,17.631098
117,Maharashtra,WARDHA,2005,21-01-2024,20.54629,26.853449,15.007654
118,Maharashtra,WARDHA,2006,21-01-2024,22.533075,27.55575,17.53985
119,Maharashtra,WARDHA,2007,21-01-2024,21.744379,27.369043,16.459223
120,Maharashtra,WARDHA,2008,21-01-2024,22.000483,27.666925,16.572168
121,Maharashtra,WASHIM,3001,21-01-2024,20.870539,26.985163,14.993036
122,Maharashtra,WASHIM,3002,21-01-2024,20.940699,26.823816,15.186884
123,Maharashtra,WASHIM,3003,21-01-2024,21.176844,26.99624,15.454035
124,Maharashtra,WASHIM,3004,21-01-2024,21.650019,27.272364,15.950403
125,Maharashtra,WASHIM,3005,21-01-2024,21.078424,27.00448,15.640528
126,Maharashtra,WASHIM,3006,21-01-2024,21.475946,27.12121,16.04156
127,Maharashtra,YAVATMAL,4001,21-01-2024,22.804499,28.019678,17.21377
128,Maharashtra,YAVATMAL,4002,21-01-2024,21.907862,27.714808,16.19134
129,Maharashtra,YAVATMAL,4003,21-01-2024,22.79986,27.96667,17.724573
130,Maharashtra,YAVATMAL,4004,21-01-2024,21.891413,27.532862,16.096827
131,Maharashtra,YAVATMAL,4005,21-01-2024,22.274805,27.663813,16.508295
132,Maharashtra,YAVATMAL,4006,21-01-2024,23.126337,28.170404,17.946833
133,Maharashtra,YAVATMAL,4007,21-01-2024,22.558344,28.019098,17.125177
134,Maharashtra,YAVATMAL,4008,21-01-2024,23.193567,28.105433,18.373987
135,Maharashtra,YAVATMAL,4009,21-01-2024,22.70199,27.820429,17.135553
136,Maharashtra,YAVATMAL,4010,21-01-2024,23.175562,27.945185,18.59759
137,Maharashtra,YAVATMAL,4011,21-01-2024,21.55166,27.369959,15.817621
138,Maharashtra,YAVATMAL,4012,21-01-2024,22.223139,27.520807,16.738276
139,Maharashtra,YAVATMAL,4013,21-01-2024,23.30514,27.989954,18.23858
